event_id,timestamp,source,host,user,src_ip,dst_ip,event_type,url,command_line,file_path,raw_message,ground_truth_stage,host_alias,user_alias,src_ip_alias,dst_ip_alias,url_path_template,query_param_names,command_line_sanitized,file_path_template,query_values_forwarded,raw_message_forwarded,preprocess_tags
E001,2026-05-20T09:01:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E002,2026-05-20T09:02:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E003,2026-05-20T09:03:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E004,2026-05-20T09:04:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E005,2026-05-20T09:05:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E006,2026-05-20T09:06:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E007,2026-05-20T09:07:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E008,2026-05-20T09:08:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E009,2026-05-20T09:09:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E010,2026-05-20T09:10:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E011,2026-05-20T09:11:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E012,2026-05-20T09:12:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E013,2026-05-20T09:13:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E014,2026-05-20T09:14:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E015,2026-05-20T09:15:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
E016,2026-05-20T09:16:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_001,,,,,,False,False,raw_text_suppressed
